Daily,Availability
1/1/19,1093
1/2/19,1066
1/3/19,1144
1/4/19,1171
1/5/19,1169
1/6/19,1141
1/7/19,1129
1/8/19,1069
1/9/19,1082
1/10/19,1200
1/11/19,1252
1/12/19,1280
1/13/19,1268
1/14/19,1199
1/15/19,1039
1/16/19,963
1/17/19,616
1/18/19,599
1/19/19,657
1/20/19,787
1/21/19,1006
1/22/19,1091
1/23/19,1102
1/24/19,1069
1/25/19,944
1/26/19,929
1/27/19,1092
1/28/19,1123
1/29/19,1139
1/30/19,1141
1/31/19,1166
2/1/19,1093
2/2/19,1066
2/3/19,1144
2/4/19,1171
2/5/19,1169
2/6/19,1141
2/7/19,1129
2/8/19,1069
2/9/19,1082
2/10/19,1200
2/11/19,1252
2/12/19,1280
2/13/19,1268
2/14/19,1199
2/15/19,1039
2/16/19,963
2/17/19,1027
2/18/19,1159
2/19/19,1217
2/20/19,1249
2/21/19,1183
2/22/19,1138
2/23/19,1175
2/24/19,1278
2/25/19,1331
2/26/19,1350
2/27/19,1355
2/28/19,1359
3/1/19,1312
3/2/19,1282
3/3/19,1369
3/4/19,1455
3/5/19,1480
3/6/19,1497
3/7/19,1466
3/8/19,1425
3/9/19,1407
3/10/19,1463
3/11/19,1474
3/12/19,1482
3/13/19,1479
3/14/19,1471
3/15/19,1446
3/16/19,1442
3/17/19,1458
3/18/19,1470
3/19/19,1462
3/20/19,1494
3/21/19,1478
3/22/19,1460
3/23/19,1447
3/24/19,1490
3/25/19,1502
3/26/19,1488
3/27/19,1495
3/28/19,1466
3/29/19,1490
3/30/19,1500
3/31/19,1598
4/1/19,1594
4/2/19,1605
4/3/19,1603
4/4/19,1584
4/5/19,1596
4/6/19,1623
4/7/19,1664
4/8/19,1690
4/9/19,1702
4/10/19,1699
4/11/19,1677
4/12/19,1653
4/13/19,1633
4/14/19,1662
4/15/19,1662
4/16/19,1675
4/17/19,1438
4/18/19,1402
4/19/19,1394
4/20/19,1405
4/21/19,1453
4/22/19,1480
4/23/19,1492
4/24/19,1487
4/25/19,1474
4/26/19,1467
4/27/19,1487
4/28/19,1535
4/29/19,1555
4/30/19,1577
5/1/19,1547
5/2/19,1504
5/3/19,1465
5/4/19,1463
5/5/19,1521
5/6/19,1557
5/7/19,1570
5/8/19,1559
5/9/19,1541
5/10/19,1530
5/11/19,1525
5/12/19,1545
5/13/19,1562
5/14/19,1570
5/15/19,1564
5/16/19,1518
5/17/19,1487
5/18/19,1476
5/19/19,1506
5/20/19,1549
5/21/19,1563
5/22/19,1565
5/23/19,1542
5/24/19,1506
5/25/19,1488
5/26/19,1500
5/27/19,1545
5/28/19,1563
5/29/19,1552
5/30/19,1539
5/31/19,1533
6/1/19,1511
6/2/19,1524
6/3/19,1545
6/4/19,1553
6/5/19,1555
6/6/19,1539
6/7/19,1544
6/8/19,1515
6/9/19,1536
6/10/19,1531
6/11/19,1534
6/12/19,1522
6/13/19,1509
6/14/19,1487
6/15/19,1501
6/16/19,1514
6/17/19,1532
6/18/19,1538
6/19/19,1526
6/20/19,1522
6/21/19,1517
6/22/19,1497
6/23/19,1504
6/24/19,1528
6/25/19,1530
6/26/19,1521
6/27/19,1502
6/28/19,1495
6/29/19,1457
6/30/19,1481
7/1/19,1438
7/2/19,1426
7/3/19,1395
7/4/19,1378
7/5/19,1384
7/6/19,1423
7/7/19,1467
7/8/19,1472
7/9/19,1476
7/10/19,1463
7/11/19,1445
7/12/19,1435
7/13/19,1431
7/14/19,1445
7/15/19,1430
7/16/19,1189
7/17/19,1048
7/18/19,986
7/19/19,971
